video_name,frame_idx,active_side,elbow_angle,hip_angle,knee_angle,hip_deviation,label,error_type
Copy of push up 140.mp4,1,right,155.31,151.98,154.97,-0.053,1,benar
Copy of push up 140.mp4,2,right,155.81,158.47,159.63,-0.0392,1,benar
Copy of push up 140.mp4,3,right,156.1,161.84,162.03,-0.0315,1,benar
Copy of push up 140.mp4,4,right,156.2,165.64,160.44,-0.0179,1,benar
Copy of push up 140.mp4,5,right,155.73,165.9,154.73,-0.0105,1,benar
Copy of push up 140.mp4,6,right,155.19,167.08,154.1,-0.0063,1,benar
Copy of push up 140.mp4,7,right,153.13,167.13,155.24,-0.0069,1,benar
Copy of push up 140.mp4,8,right,151.71,166.6,154.72,-0.0078,1,benar
Copy of push up 140.mp4,9,right,147.33,164.96,151.6,-0.0087,1,benar
Copy of push up 140.mp4,10,right,143.86,163.19,150.39,-0.0121,1,benar
Copy of push up 140.mp4,11,right,142.02,162.31,152.4,-0.0161,1,benar
Copy of push up 140.mp4,12,right,137.41,160.98,151.74,-0.0185,1,benar
Copy of push up 140.mp4,13,right,134.08,160.34,150.45,-0.0188,1,benar
Copy of push up 140.mp4,14,right,131.2,160.64,149.77,-0.0173,1,benar
Copy of push up 140.mp4,15,right,127.53,160.74,148.3,-0.0151,1,benar
Copy of push up 140.mp4,16,right,125.04,162.39,149.82,-0.0123,1,benar
Copy of push up 140.mp4,17,right,120.28,160.9,148.27,-0.0142,1,benar
Copy of push up 140.mp4,18,right,115.34,160.46,147.09,-0.014,1,benar
Copy of push up 140.mp4,19,right,110.79,160.65,145.11,-0.0118,1,benar
Copy of push up 140.mp4,20,right,107.24,160.19,141.64,-0.0098,1,benar
Copy of push up 140.mp4,21,right,103.17,159.6,140.78,-0.0103,1,benar
Copy of push up 140.mp4,22,right,95.86,156.9,142.05,-0.0172,1,benar
Copy of push up 140.mp4,23,right,90.36,157.48,142.61,-0.016,1,benar
Copy of push up 140.mp4,24,right,84.5,156.82,144.64,-0.0186,1,benar
Copy of push up 140.mp4,25,right,79.48,160.44,146.12,-0.012,1,benar
Copy of push up 140.mp4,26,right,77.98,161.54,144.6,-0.0083,1,benar
Copy of push up 140.mp4,27,right,73.01,160.54,141.15,-0.0069,1,benar
Copy of push up 140.mp4,28,right,70.35,161.15,142.15,-0.0059,1,benar
Copy of push up 140.mp4,29,right,69.88,160.32,141.23,-0.0068,1,benar
Copy of push up 140.mp4,30,right,67.74,161.8,142.86,-0.0047,1,benar
Copy of push up 140.mp4,31,right,69.02,162.91,141.88,-0.0014,1,benar
Copy of push up 140.mp4,32,right,69.59,163.65,141.29,0.0007,1,benar
Copy of push up 140.mp4,33,right,67.62,162.91,140.45,0.0001,1,benar
Copy of push up 140.mp4,34,right,68.07,161.5,138.71,-0.0015,1,benar
Copy of push up 140.mp4,35,right,69.64,161.38,137.88,-0.0007,1,benar
Copy of push up 140.mp4,36,right,70.37,161.63,138.21,-0.0005,1,benar
Copy of push up 140.mp4,37,right,71.13,162.81,142.31,-0.0009,1,benar
Copy of push up 140.mp4,38,right,77.29,162.49,138.48,0.0021,1,benar
Copy of push up 140.mp4,39,right,85.15,164.3,140.37,0.0038,1,benar
Copy of push up 140.mp4,40,right,90.71,162.86,137.6,0.0024,1,benar
Copy of push up 140.mp4,41,right,98.66,163.56,141.46,-0.0009,1,benar
Copy of push up 140.mp4,42,right,107.4,164.22,145.51,-0.0036,1,benar
Copy of push up 140.mp4,43,right,115.44,166.14,150.27,-0.0046,1,benar
Copy of push up 140.mp4,44,right,122.88,167.97,151.91,-0.0016,1,benar
Copy of push up 140.mp4,45,right,129.25,168.17,150.9,-0.0006,1,benar
Copy of push up 140.mp4,46,right,137.2,169.37,149.69,0.0038,1,benar
Copy of push up 140.mp4,47,right,146.77,172.99,150.39,0.0145,1,benar
Copy of push up 140.mp4,48,right,154.42,175.71,150.63,0.0234,1,benar
Copy of push up 140.mp4,49,right,159.63,178.43,154.61,0.0291,1,benar
Copy of push up 140.mp4,50,right,163.35,178.85,155.03,0.0307,1,benar
Copy of push up 140.mp4,51,right,165.03,178.51,156.34,0.0294,1,benar
Copy of push up 140.mp4,52,right,164.0,178.7,156.92,0.0297,1,benar
Copy of push up 140.mp4,53,right,164.18,178.42,157.26,0.0281,1,benar
Copy of push up 140.mp4,54,right,163.73,178.24,156.8,0.0282,1,benar
Copy of push up 140.mp4,55,right,163.95,178.93,157.64,0.0296,1,benar
Copy of push up 140.mp4,56,right,163.74,178.98,158.17,0.0291,1,benar
Copy of push up 140.mp4,57,right,163.84,178.91,158.12,0.0288,1,benar
Copy of push up 140.mp4,58,right,163.73,178.55,156.97,0.029,1,benar
Copy of push up 140.mp4,59,right,163.83,178.58,158.24,0.0272,1,benar
Copy of push up 140.mp4,60,right,163.79,178.54,156.66,0.029,1,benar
Copy of push up 140.mp4,61,right,163.82,178.7,157.7,0.0282,1,benar
Copy of push up 140.mp4,62,right,163.79,177.98,156.25,0.0275,1,benar
Copy of push up 140.mp4,63,right,163.85,177.89,155.52,0.0281,1,benar
Copy of push up 140.mp4,64,right,163.94,177.99,155.85,0.028,1,benar
Copy of push up 140.mp4,65,right,163.94,177.61,154.75,0.028,1,benar
Copy of push up 140.mp4,66,right,163.89,177.77,155.17,0.028,1,benar
Copy of push up 140.mp4,67,right,163.88,177.83,155.46,0.0279,1,benar
Copy of push up 140.mp4,68,right,163.88,178.06,155.75,0.0284,1,benar
Copy of push up 140.mp4,69,right,163.79,177.57,154.55,0.0283,1,benar
Copy of push up 140.mp4,70,right,163.8,177.29,153.7,0.0284,1,benar
Copy of push up 140.mp4,71,right,163.73,177.11,152.95,0.0288,1,benar
Copy of push up 140.mp4,72,right,163.72,177.53,154.08,0.0289,1,benar
Copy of push up 140.mp4,73,right,163.66,177.8,155.1,0.0285,1,benar
Copy of push up 140.mp4,74,right,163.72,177.68,154.4,0.0287,1,benar
Copy of push up 140.mp4,75,right,163.7,177.87,154.84,0.0289,1,benar
Copy of push up 140.mp4,76,right,163.7,178.04,155.33,0.0289,1,benar
Copy of push up 140.mp4,77,right,163.69,178.3,155.72,0.0294,1,benar
Copy of push up 140.mp4,78,right,163.6,177.77,154.44,0.0292,1,benar
Copy of push up 140.mp4,79,right,163.6,177.52,153.82,0.0291,1,benar
Copy of push up 140.mp4,80,right,163.53,177.34,153.41,0.0289,1,benar
Copy of push up 140.mp4,81,right,163.56,177.25,153.18,0.029,1,benar
Copy of push up 140.mp4,82,right,163.57,177.3,152.74,0.0298,1,benar
Copy of push up 140.mp4,83,right,163.59,176.93,152.18,0.0295,1,benar
Copy of push up 140.mp4,84,right,163.7,176.84,152.07,0.0294,1,benar
Copy of push up 140.mp4,85,right,163.67,176.73,151.72,0.0293,1,benar
Copy of push up 140.mp4,86,right,163.71,177.35,153.06,0.0299,1,benar
Copy of push up 140.mp4,87,right,163.75,177.9,155.31,0.0287,1,benar
Copy of push up 116.mp4,1,right,176.26,145.43,169.49,-0.0486,1,benar
Copy of push up 116.mp4,2,right,174.08,143.78,167.86,-0.0489,1,benar
Copy of push up 116.mp4,3,right,172.24,143.52,167.13,-0.0474,1,benar
Copy of push up 116.mp4,4,right,168.59,147.85,167.26,-0.0397,1,benar
Copy of push up 116.mp4,5,right,163.13,152.05,166.0,-0.0311,1,benar
Copy of push up 116.mp4,6,right,158.82,154.52,164.99,-0.0263,1,benar
Copy of push up 116.mp4,7,right,155.93,156.53,161.59,-0.0208,1,benar
Copy of push up 116.mp4,8,right,151.66,156.42,157.98,-0.018,1,benar
Copy of push up 116.mp4,9,right,146.44,159.46,157.1,-0.0128,1,benar
Copy of push up 116.mp4,10,right,138.19,160.18,157.5,-0.0119,1,benar
Copy of push up 116.mp4,11,right,130.19,163.63,158.85,-0.0078,1,benar
Copy of push up 116.mp4,12,right,118.46,163.11,155.65,-0.0061,1,benar
Copy of push up 116.mp4,13,right,106.02,163.32,153.83,-0.0044,1,benar
Copy of push up 116.mp4,14,right,94.85,165.9,154.33,-0.0012,1,benar
Copy of push up 116.mp4,15,right,85.04,166.57,155.39,-0.0008,1,benar
Copy of push up 116.mp4,16,right,69.31,168.97,158.03,0.0007,1,benar
Copy of push up 116.mp4,17,right,67.08,169.79,159.93,0.0006,1,benar
Copy of push up 116.mp4,18,right,64.97,172.58,161.53,0.0032,1,benar
Copy of push up 116.mp4,19,right,59.59,172.46,161.56,0.003,1,benar
Copy of push up 116.mp4,20,right,65.19,172.03,161.38,0.0025,1,benar
Copy of push up 116.mp4,21,right,63.77,169.98,160.42,0.0004,1,benar
Copy of push up 116.mp4,22,right,64.12,169.26,159.32,0.0002,1,benar
Copy of push up 116.mp4,23,right,70.3,168.44,159.26,-0.0009,1,benar
Copy of push up 116.mp4,24,right,80.79,166.91,156.26,-0.0009,1,benar
Copy of push up 116.mp4,25,right,98.72,165.87,154.94,-0.0014,1,benar
Copy of push up 116.mp4,26,right,112.21,164.93,152.76,-0.0012,1,benar
Copy of push up 116.mp4,27,right,123.34,163.97,152.43,-0.0026,1,benar
Copy of push up 116.mp4,28,right,135.58,161.75,151.95,-0.0055,1,benar
Copy of push up 116.mp4,29,right,143.51,159.44,153.42,-0.01,1,benar
Copy of push up 116.mp4,30,right,150.46,158.37,153.44,-0.0121,1,benar
Copy of push up 116.mp4,31,right,155.35,158.37,154.99,-0.0134,1,benar
Copy of push up 116.mp4,32,right,159.24,157.67,156.88,-0.016,1,benar
Copy of push up 116.mp4,33,right,163.44,157.85,158.69,-0.0175,1,benar
Copy of push up 116.mp4,34,right,166.49,153.51,158.5,-0.0238,1,benar
Copy of push up 116.mp4,35,right,170.6,152.89,159.03,-0.0259,1,benar
Copy of push up 116.mp4,36,right,173.08,149.73,158.88,-0.0305,1,benar
Copy of push up 116.mp4,37,right,173.78,147.1,160.79,-0.0362,1,benar
Copy of push up 116.mp4,38,right,174.02,145.87,161.64,-0.0387,1,benar
Copy of push up 116.mp4,39,right,174.38,143.54,161.97,-0.0424,1,benar
Copy of push up 116.mp4,40,right,174.25,145.95,161.62,-0.0386,1,benar
Copy of push up 116.mp4,41,right,174.6,147.2,160.94,-0.0364,1,benar
Copy of push up 116.mp4,42,right,174.46,145.96,160.19,-0.0377,1,benar
Copy of push up 116.mp4,43,right,174.44,146.35,160.48,-0.0373,1,benar
Copy of push up 116.mp4,44,right,174.71,147.21,160.1,-0.0358,1,benar
Copy of push up 116.mp4,45,right,174.66,146.68,159.9,-0.0364,1,benar
Copy of push up 116.mp4,46,right,174.63,146.6,160.23,-0.0369,1,benar
